いきます,いって,go
きます,きて,come
かえります,かえって,"go home, return"
たべます,たべて,to eat
のみます,のんで,to drink
すいます,すって,to smoke / to inhale
みます,んで,to see / to watch / to look at
ききます,きいて,to listen / to ask
よみます,よんで,to read
かきます,かいて,to write
かいます,かって,to buy
とります,とって,to take / to take a photo
します,して,to do
あいます,あって,to meet
きります,きって,"cut, slice"
おくります,おくって,to send / to give (as a gift)
あげます,あげて,to give
もらいます,もらって,to receive
かします,かして,to lend
かります,かって,to borrow
おしえます,おしえて,to teach
ならいます,ならって,to learn
かけます,かけて,to make a telephone call
わかります,わかって,to understand
あります,あって,to have / to exist (things)
います,って,to exist (people/animals)
できます,でいて,can
いります,いって,to need
ふります,ふって,to fall (rain/snow)
かかります,かかって,to take (time/money)
あそびます,あそんで,"enjoy oneself, play"
およぎます,およいで,swim
むかえます,むかえて,"go to meet, welcome"
つかれます,つかれて,get tired
だします,だして,send
はいります,はいって,enter
でます,でて,go out
けっこんします,けっこんして,"marry, get married"
かいものします,かいものして,do shopping
しょくじします,しょくじして,"have a meal, dine"
さんぽします,さんぽして,take a walk
つけます,つけて,turn on
けします,けして,turn off
しめます,しめて,"close, shut"
いそぎます,いそいで,hurry
まちます,まって,wait
とめます,とめて,"stop, park"
まがります,まがって,turn
もちます,もって,hold
とります,とって,"take, pass"
てつだいます,てつだって,help (with a task)
よびます,よんで,call
はなします,はなして,"speak, talk"
みせます,みせて,show
おしえます,おしえて,tell
はじめます,はじめて,"start, begin"
ふります,おりて,rain
たちます,たって,stand up
すわります,すわって,sit down
つかいます,つかって,use
おきます,おいて,put
つくります,つくって,"make, produce"
うります,うって,sell
しります,しって,get to know
すみます,すんで,be going to live
けんきゅうします,けんきゅうして,do research
のります,のって,"ride, get on"
おります,おりて,get off
のりかえます,のりかえて,"change (trains, etc.)"
いれます,いれて,"put in, insert"
だします,だして,"take out, withdraw"
でます,でて,graduate
やめます,やめて,"quit or retire from, stop, give up"
おします,おして,"press, push"
おぼえます,おぼえて,memorize
わすれます,わすれて,forget
なくします,なくして,lose
はらいます,はらって,pay
かえします,かえして,"give back, return"
でかけます,でかけて,go out
ぬぎます,ぬいで,"take off (clothes, shoes, etc.)"
もっていきます,もっていいて,take (something)
もってきます,もっていて,bring (something)
しんぱいします,しんぱいして,worry
ざんぎょうします,ざんぎょうして,work overtime
しゅっちょうします,しゅっちょうして,go on a business trip
あらいます,あらって,wash
ひきます,ひいて,"play (stringed instrument or piano, etc.)"
うたいます,うたって,sing
あつめます,あつめて,"collect, gather"
すてます,すてて,throw away
かえます,かえて,"exchange, change"
うんてんします,うんてんして,drive
よやくします,よやくして,"reserve, book"
けんがくします,けんがくして,visit some place for study
のぼります,のぼって,climb
とまります,とまって,stay
そうじします,そうじして,clean (a room)
せんたくします,せんたくして,wash (clothes)
れんしゅうします,れんしゅうして,practice
いります,いって,"need, require"
しらべます,しらべて,"check, investigate"
なおします,なおして,"repair, correct"
しゅうりします,しゅうりして,repair
でんわします,でんわして,to phone
いいます,いって,say
かちます,かって,win
まけます,まけて,"lose, be beaten"
あります,あって,"be held, take place"
おまつりがあります,おまつりがあって,"a festival is held, takes place"
きます,いて,"put on (a shirt, etc.)"
はきます,はいて,"put on (shoes, trousers, etc.)"
かぶります,かぶって,"put on (a hat, etc)"
おめでとうございます,おめでとうござって,"Congratulations (used on birthdays, at weddings, New Year's Day, etc.)"
ききます,きいて,ask
まわします,まわして,turn
ひきます,ひいて,pull
かえます,かえて,change
さわります,さわって,touch
でます,でて,come out
うごきます,うごいて,"move, work"
あるきます,あるいて,walk
わたります,わたって,cross
きをつけます,きをつけて,"pay attention, take care"
ひっこしします,ひっこしして,move (house)
くれます,くれて,give(me)
つれていきます,つれていいて,take (someone)
つれてきます,つれていて,bring (someone)
おくります,おくって,"escort, go with"
しょうかいします,しょうかいして,introduce
あんないします,あんないして,"show around, show the way"
せつめいします,せつめいして,explain
かんがえます,かんがえて,"think, consider"
つきます,ついて,arrive
りゅうがくします,りゅうがくして,study abroad
としをとります,としをとって,grow old
がんばります,がんばって,do one's best
