宿題,しゅくだい,homework
野菜,やさい,vegetables
青い,あおい,blue
赤い,あかい,red
新しい,あたらしい,new
暑い,あつい,hot
暑い,あつい,hot
良い,いい,good
忙しい,いそがしい,busy
美味しい,おいしい,"delicious, tasty"
大きい,おおきい,"big, large"
面白い,おもしろい,interesting
綺麗,きれい,"beautiful, clean"
黒い,くろい,black
元気,げんき,"healthy, sound, cheerful"
寒い,さむい,cold (referring to temperature)
静か,しずか,quiet
白い,しろい,white
親切,しんせつ,kind
高い,たかい,"expensive, tall, high"
楽しい,たのしい,enjoyable
小さい,ちいさい,"small, little"
冷たい,つめたい,"cold (referring to touch, as a drink)"
賑やか,にぎやか,lively
低い,ひくい,low
暇,ひま,free (time)
古い,ふるい,old (not of age)
便利,べんり,convenient
難しい,むずかしい,difficult
易しい,やさしい,easy
安い,やすい,inexpensive
有名,ゆうめい,famous
悪い,わるい,bad
嫌い,きらい,dislike
上手,じょうず,good at
好き,すき,like
?,だいたい,"mostly, roughly"
下手,へた,poor at
?,どのくらい,how long
暖かい,あたたかい,warm
甘い,あまい,sweet
多い,おおい,"many, much"
遅い,おそい,"slow, late"
重い,おもい,heavy
辛い,からい,"hot (taste), spicy"
軽い,かるい,light (of weight)
少ない,すくない,"few, a little"
涼しい,すずしい,cool
世界,せかい,world
近い,ちかい,near
遠い,とおい,far
速い,はやい,"fast, early"
?,コーヒーがいい,prefer coffee
経済,けいざい,economy
寂しい,さびしい,lonely
少々お待ちください,しょうしょうおまちください,Please wait a moment
大変,たいへん,"hard, tough, severe, awful"
広い,ひろい,"wide, spacious"
欲しい,ほしい,want (something)
?,しんごうをみぎへまがってください,Turn right at the signal
明るい,あかるい,"bright, light"
?,あたまがいい,"clever, smart"
暗い,くらい,dark
長い,ながい,long
短い,みじかい,short
若い,わかい,young
危ない,あぶない,dangerous
大切,たいせつ,"important, precious"
大丈夫,だいじょうぶ,all right
?,からだにいい,good for one's health
乾杯,かんぱい,"Bottoms up!, Cheers!"
調子がいい,ちょうしがいい,be in good condition
調子が悪い,ちょうしがわるい,be in bad condition
強い,つよい,strong
眠い,ねむい,sleepy
弱い,よわい,weak
試合,しあい,"game, match"
凄い,すごい,"awful, great (expresses astonishment or admiration)"
不便,ふべん,inconvenient
機械,きかい,machine
